start-time             |end-time               |duration|rtt     |proto|sip                                   |sp   |dip                                     |dp   |iflags  |uflags  |riflags |ruflags |isn     |risn    |tag|rtag|pkt    |oct     |rpkt    |roct    |end-reason
2002-05-23 16:35:02.396|2002-05-23 16:37:01.450| 119.054|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|591c8605|00000000|000|000|     117|  124488|       0|       0|active 
2002-05-23 16:37:02.450|2002-05-23 16:39:01.465| 119.015|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|591e6605|00000000|000|000|     119|  126616|       0|       0|active 
2002-05-23 16:38:39.912|2002-05-23 16:40:39.896| 119.984|   0.000|  6|                           128.160.78.76| 2957|                         138.212.185.188| 6699|      ES|     EAP|       0|       0|00450d8b|00000000|000|000|     298|   51603|       0|       0|active 
2002-05-23 16:39:02.466|2002-05-23 16:41:01.985| 119.519|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|59204605|00000000|000|000|     120|  127680|       0|       0|active 
2002-05-23 16:40:40.139|2002-05-23 16:41:18.546|  38.407|   0.000|  6|                           128.160.78.76| 2957|                         138.212.185.188| 6699|     EAP|     EAP|       0|       0|00459947|00000000|000|000|      82|   13814|       0|       0|idle 
2002-05-23 16:41:02.986|2002-05-23 16:43:02.362| 119.376|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|59222605|00000000|000|000|     118|  125552|       0|       0|active 
2002-05-23 16:43:03.363|2002-05-23 16:45:02.474| 119.111|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|59240605|00000000|000|000|     118|  125552|       0|       0|active 
2002-05-23 16:45:03.476|2002-05-23 16:47:02.598| 119.122|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|5925e605|00000000|000|000|     116|  123424|       0|       0|active 
2002-05-23 16:47:03.598|2002-05-23 16:49:03.094| 119.496|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|5927c605|00000000|000|000|     119|  126616|       0|       0|active 
2002-05-23 16:49:04.095|2002-05-23 16:50:01.164|  57.069|   0.000|  6|                         128.170.241.107| 3781|                          138.212.191.37| 6346|     EAP|     EAP|       0|       0|5929a605|00000000|000|000|      57|   60648|       0|       0|eof 
